original_index,content,clean_final,pred_topic
4281,Overall gamenya seru 'DULU' setiap karakternya bagus demeknya juga enak enak 'CHAR LAMA GA DI AJAK' maininnya enak bisa auto kan jadi ga perlu liat sana sini di tinggal trus lakuin kegiatan lain 'DULU' sekarang mah bagus ada efek namanya 'GLOBAL TIPI' itu efek bagus banget cuy kalian aja pada skill issue 'KATANYA' makanya kan kita tuh wajib menghargai setiap update terbaru char baru dan event baru yg seru seru misalnya cerita yg bagus dalam segala sisi 'YAPPING SEMUA' (wuwa bisa skip cuy),overall karakter demek enak enak char ajak maininnya enak auto lihat tinggal lakuin giat mah efek nama global tipi efek cuy skill issue tuh wajib harga update baru char event cerita sisi yapping wuwa skip cuy,-1
4283,"gausah alay ,main tingal main ini bukan game Co-op apalagi pvp",gausah alay tingal co op pvp,2
4284,"Game nya seru,dan menarik dan ada mekanik baru yg agak kurang menyenangkan pas awal rilis di 3.2 yah tapi masih bagus lah soalnya kalo gak ada SJ tinggal nunggu Rerun aja soalnya bukan game compe",tarik mekanik senang rilis yah sj tinggal tunggu rerun compe,-1
4285,"Wkwkwk, giliran cwe aja dibuat op & global passive, char cwo dinista mulu ama ini game😹 keliatan banget jualan nya tuh😹",wkwkwk gilir cwe op global passive char cwo nista mulu ama liat jual tuh,-1
4287,"""Jangan biarkan satu bintang meredupkan cahaya dari seluruh galaksimu."" Game-mu luar biasa. Kamu sudah mencurahkan hati, tenaga, dan kreativitas ke dalamnya—dan itu tidak ternilai hanya oleh angka. Spam bintang 1 itu bukan cerminan kualitas karyamu, tapi bukti bahwa karyamu terlihat. Terus maju, tetap berkarya. Pemain sejati akan melihat keindahan yang kamu ciptakan.",biar bintang redup cahaya galaksi mu curah hati tenaga kreativitas dalam nilai angka spam bintang cermin kualitas karya bukti karya maju karya main sejati indah cipta,10
4288,"makin kesini makim gak jelas nih game padahal buat story nya bagus, tapi sayang konten end game nya hanya buat org yang mampu gatcha karakter baru doang, konten end game nya fokus ke jualan karakter baru, kita yang masih pake katarker lama susah payah ngelarin konten end game nya 😪😪",kesini makim nih story sayang konten end org gatcha karakter doang konten end fokus jual karakter pake katarker susah payah ngelarin konten end,13
4289,rate gacha busukkkkk,rate gacha busukkkkk,-1
4290,"Apa ini ada meta baru ga kepake Waifu gua, gua maen hsr hanya ingin melihat Waifu di party Dan enjoyable pas main",meta kepake waifu maen hsr waifu party enjoyable,-1
4291,hapus system terbaru yang harus pake hero baru,hapus system baru pake hero,3
4292,"menurut saya game ini bagus banget,dan cutshine yang tergolong enteng di mobile cuma tolong perpendek dialog nya,YAPPING KALI DI PENACONY🖐️paham kak gem",cutshine golong enteng mobile pendek dialog yapping kali penacony paham,-1
4294,"Udah pensiun saya main game ini. Powercreep gila2an. Gak dikasi nafas tiap patch. Bintang 4 gak guna. Tiap party harus premium. Gak ada istilah ""Party alternatif ramah F2P"" soalnya karakter selain B5 pasti ampas semua. Bahkan B5 nya sendiri juga bisa jadi karakter ampas setelah lewat 4-5 patch krn ke powercreep gila2an. Capek gua sama ni game. Hadeh, mana uang yg udah keluar gk sedikit lagi🤡",pensiun powercreep gila kasi nafas patch bintang party premium istilah party alternatif ramah f p karakter b ampas b karakter ampas patch powercreep gila lelah hadeh uang,-1
4295,"Global passive untuk pengalaman yang lebih baik, pengalaman yang lebih baik dengkul ku, itu bug di urus dulu, bikin global passive buat karakter tertentu, terus nasib karakter lain yang bakal rilis berikutnya engga dapat.... Woww....",global passive alam alam dengkul ku bug urus global passive karakter nasib karakter rilis engga woww,10
4297,memaksa gacha karakter baru dengan cara hp inflasi berlebihan dan powercreep gila,paksa gacha karakter inflasi powercreep gila,-1
4298,"game bagus gini di katain game jelek woilah, semuanya bagus sih menurut ku",gin katain jelek woilah ku,2
4299,i love castorice even global pasive issue 😋,castorice even global pasive issue,20
4300,lovee thiss game!!!,lovee thiss,-1
4302,"di arc ini seru banget, berharap gak ada yg jadi mayat tapi apa daya saya tidak bisa apa' 🥲. Pas pertama kali jalani quest di amphoreus lama banget sampe 10 jam, mungkin gara' aku di batasi main sampe 3 jam doang jadi sampe main hsr 4 hari buat nyelesain quest nya (gak nyesel kali sih, soalnya ngejelasin ini itu jadi gak bingung lagi), kali ini di up baru quest nya gak lumayan lama, gak sabar buat nunggu castorice sama anaxa rilis",arc harap mayat daya kali jalan quest amphoreus sampe jam gara batas sampe jam doang sampe hsr nyelesain quest nyesel kali ngejelasin bingung kali quest lumayan sabar tunggu castorice anaxa rilis,-1
4303,game yapping gada fitur skip,yapping gada fitur skip,-1
4304,gamenya seruuu,seruuu,-1
4306,males ahh gk dapat aventurine,males ahh aventurine,-1
4307,harus bgt nih dptin casto? maksa bgt ni dev,nih dptin casto maksa dev,2
4308,perbanyak char B4 woy hoyok!,banyak char b woy hoyok,-1
4309,utk DU/SU itu terlalu sulit seperti dipaksakan utk ngelengkapi LC² karakternya ataupun EID itu tersendiri agar ada dapat mengalahkan bosnya,du su sulit paksa ngelengkapi lc karakter eid sendiri kalah bos,-1
4310,"owarida, the beginning of the end has come to one of my favorite game, bye firefly...",owarida beginning end come one favorite bye firefly,0
4311,"MOC kali ini terlalu susah buat char lama dan seperti dipaksa gacha char baru yang kita gak suka, gw disini bukan pengejar meta tapi lebih ke sayang aja gak bisa ambil hadiah full star MOC nya",moc kali susah char paksa gacha char suka kejar meta sayang ambil hadiah full star moc,-1
4312,"game nya bagus, dan aku akan memulangkan castorice istri ku",pulang castorice istri ku,-1
4314,"game nya asik ,ga peduli powercrape apa segala macem ,gw main game ya buat senang-senang aja ,main game ya main aja 😋💕 ,banyak char ganteng sama cantik lagi buset la kata gw mah, musuhnya juga ga susah susah amat kalo lu ga ngincer moc si ,yaudah aja si main ya main aja wkkw ,bye muach semangat tim hoyo! :D ,continue to develop for better times",asik peduli powercrape macem senang senang char ganteng cantik buset la mah musuh susah susah ngincer moc yaudah wkkw bye muach tim hoyo continue develop better times,-1
4315,makan tuh global passive,makan tuh global passive,-1
4316,"game bagus ,banyak sembako, tapi tolong ya dapetin artifact jangan susah susah, haduhh scam banget",sembako dapetin artifact susah susah haduhh scam,-1
4317,"‎- Hp inflation ‎- Powercreep (This has been happening for a long time, I hope in the future it can be more balanced) ‎- Good Story but story telling Is bad ‎- Clarification for global passive, i dont expect it to be removed since its been announced to the public but i hope this crazy passive is only in castorice and ends in castorice, no more characters in the future with kits that dont make sense ‎ ‎Thx",inflation powercreep happening long time hope future balanced story story telling bad clarification global passive dont expect removed since announced public hope crazy passive castorice ends castorice characters future kits dont sense,0
4318,game turn base yang paling saya sukai. semngat~~~,turn base suka semngat,-1
4319,game powercreep gila malas main lagi,powercreep gila malas,6
4320,gua main dari 1.0 B aja sih nggak ada yang jelek,b jelek,-1
4321,powercreep. unbalance.,powercreep unbalance,6
4322,"inget bgt dlu main ni game pas pertama kali rilis, bodoh bgt wkwkw",inget kali rilis bodoh wkwkw,2
4324,"karakter pada game ini gak seimbang, konten endgame dan mekanisme musuhnya sangat merugikan karakter lama dan menguntungkan karakter yg baru rilis, yang secara tidak langsung, mewajibkan para player memiliki karakter terbaru dan terus berulang selama beberapa update. tidak ada itikat baik dari developer untuk mendengarkan keluhan player. bintang 1",karakter imbang konten endgame mekanisme musuh rugi karakter untung karakter rilis langsung wajib player milik karakter baru ulang update itikat developer dengar keluh player bintang,10
4325,"game nya bagus, character desain nya juga keren hadiah juga oke bisa dapet satu bintang 5 tiap patch kurang nya cuman banyak player skill issue bilang powercreep parah, ""harus gacha character baru"", banyak ini itu. kek ayolah bro main tinggal main malah banyak alasan, hoyo rilis character op baru ya biar yang ketinggalan main itu ga kalah sama meta, sampe kiamat pun moc ga selesai"" kalo pake hypercarry blade😂",character desain hadiah bintang patch cuman player skill issue bilang powercreep parah gacha character ayo bro tinggal alas hoyo rilis character op biar tinggal kalah meta sampe kiamat moc selesai pake hypercarry blade,13
4326,"bagus,yg kasi rating 1 bintang itu skill issue+ga mau farming buat gacha char meta",rating bintang skill issue farming gacha char meta,-1
4327,Dev budeg power creep gilA,dev budeg power creep gila,35
4328,"ini game gacha ya adick2 jngn main ntar lu topup2 klo dikasih gratis syukuri bodh,gak usah sok nilai2 karya orang mau gratis aja",gacha adick jngn topup kasih gratis syukur bodh sok nilai karya orang gratis,-1
4330,jujur ya dari awal main hsr itu baik-baik aja tapi semakin lama semakin susah ya sedih sih 😭🥀,jujur hsr susah sedih,-1
4331,inflasi HP je 😡😡,inflasi je,-1
4332,power creep gilaaaaa,power creep gilaaaaa,35
4333,powercreept gila gilaan. dev enggak dengerin masukan saran. bias treatment karakter. ga rekomen.,powercreept gila gila dev dengerin masuk saran bias treatment karakter rekomen,-1
4334,game bagus tidak pelit bansos walau sering powercreep sama tolong di buat tombol skip story,pelit bansos powercreep tombol skip story,-1
4336,"singkatnya game ini seru tapi terlalu memaksa, dan hal yg kurang saya suka dari game ini adalah dari dialog nya yg sangat panjang daripada cutesine, bikin cepat bosan",singkat paksa suka dialog cutesine cepat bosan,-1
4337,hai sayang,hai sayang,-1
4338,"game nya udah bangus, dan bagi yang memiliki keluhan terkait karakter yg sulit di dapatkan, makanya jangan miskin, udah miskin banyak mau lagi, tinggal farming apa susah kalian aja yang terlalu malas farming gob...k, kemudian game ini emang mengfokuskan ke battle, story dan puzzle, bagi yg ngeluh puzzle nya sulit, makanya otaknya di pake jgn nonton bkp jk yg kalian tau...",bangus milik keluh kait karakter sulit dapat miskin miskin tinggal farming susah malas farming gob k mengfokuskan battle story puzzle ngeluh puzzle sulit otak pake nonton bkp jk tau,10
4339,"Powercreept merajarela, setiap patch ada 2 karakter b5 baru, caoek ngejar meta di HSR. No Gacha DPS 3.0 gak bisa kelarin endgame content. Karakter 2.0 udah kurang relevant buat dimaennin. bikin akun reroll dipersulit, tapi gacha di gamenya ampas banget. Gacha dps rerun gak ada harga dirinya. MAKIN KESINI CUMAN JUALAN KARAKTER DOANK DIKENCENGIN.",powercreept merajarela patch karakter b caoek ngejar meta hsr gacha dps kelarin endgame content karakter relevant dimaennin akun reroll sulit gacha ampas gacha dps rerun harga kesini cuman jual karakter doank dikencengin,13
4341,game nya bagus dri segi semuanya perfect lah buat gw.tapi knp org2 PDA komplain soal global passive paling mereka cmn iri dengki kenapa GK castorice aja yg free 😹. woilah padahal udh di kasih bansos bejibun apalagi bisa milih 2 karakter gratis nanti (buset sekarang udah mulai turun ratingnya ),dri segi perfect org pda komplain global passive iri dengki castorice free woilah bansos bejibun milih karakter gratis buset turun ratingnya,-1
4342,HSR Game baik kalian apasih ngasih ratingnya rendah banget,hsr apasih ratingnya rendah,-1
4343,"minimal kasih penjelasan ama player awam dongo yg ga tau fungsi Global Passive, padahal di game lain kyk Granblue Fantasy B aja.. lo malah diem aja Dawei, Mana SJ yang kau janjikan itu",minimal jelas ama player awam dongo tau fungsi global passive granblue fantasy b lo diem dawei sj kau janji,-1
4344,agak kecewa sama versi yang sekarang,kecewa versi,-1
4346,"pengalaman bermain hsr lebih dari satu tahun jujur saya kehilangan esensi menikmati alur gamenya. mulai dari story yg terlalu panjang dan tidak semenarik story sebelumnya (penacony) terlalu bertele-tele. apalagi isu ""powercreep"" karakter yg sudah lama rilis. menurutku ini sangat parah ketika ada orang sudah vertical invest ke karakter tersebut, tapi di update sekarang ini sudah tidak dibutuhkan atau tidak sehebat dulu lagi. mohon pertimbangkan lagi semua inovasi ke depan. jangan terlalu rakus.",alam main hsr jujur hilang esensi nikmat alur story tarik story penacony tele tele isu powercreep karakter rilis turut parah orang vertical invest karakter update butuh hebat timbang inovasi rakus,10
4347,"jujur aja makin sini makin kayak kakaknya(HI3) mungkin karena sama sama honkai, tapi tolonglah sekali kali keluarin char b4 jangan b5 mulu, setidaknya b4nya itu versi kurangnya b5 karena lama lama bosen juga disuguhin nya b5 mulu, b4nya jarang banget dan buat buff MoC jangan dibikin terlalu spesifik ke char yang sedang rate up, masih mending AS sama PF ada pilihan buffnya,ini MoC gk ada pilihan dan pasti spesifik ke char yang sedang rate up bannernya, event diperbanyak juga, terlalu sedikit",jujur kakak hi honkai tolong kali keluarin char b b mulu b versi kurang b bosan disuguhin b mulu b jarang buff moc bikin spesifik char rate mending pf pilih buffnya moc pilih spesifik char rate bannernya event banyak,13
4348,"sebagai player f2p, tolonglah dengarkan keluhan kami agar kami tetap semangat bermain ini game karena jujur saja cocok untuk game santai sewaktu bekerja. minima perbaiki masalah hp inflation, kasih jeda versi untuk powercreep kedepannya agar bisa planning karakter. tetapi overall terlepas dari itu semua saya masih enjoy dengan game ini",player f p tolong dengar keluh main jujur cocok santai minima baik inflation jeda versi powercreep depan planning karakter overall lepas enjoy,-1
4349,"jujur aja, ini game menurut gua, terlalu susah untuk pemula kaya gua, gua tau gua tau, gua skill issue, tapi ni game gak ramah buat f2p kaya gua, literally gua harus tryhard buat dapatin karakter meta biar mudah jalanin story tapi harus struggle buat juga buat dapatin item buat ni chara, asli bingung coy ni game bener"" maksa kita buat ngeluarin duit biar bisa dapat karakter atau card buat chara kita. pls ni game difix ngeri banget powercreeptnya",jujur susah mula kaya tau tau skill issue ramah f p kaya literally tryhard dapatin karakter meta biar mudah jalanin story struggle dapatin item chara asli bingung bener maksa keluar duit biar karakter card chara difix ngeri powercreeptnya,-1
4352,"BEST GAME IN THE WORLD!,tu kalau gasuka gamenya uninstall aja kocak. kalau di spam b1 yang ada menjatuhkan game orang cih. kalau mau complain yang sopan,lah kalian Mala ngamuk ngamuk kek orgil perkara powercreer sama global pasive kalau masalah model terserah Dev,gausah nyuruh Dev hapus global pasive disuruh hapus kah karena gak mampu pull Castorice🫢",world tu gasuka uninstall kocak spam b jatuh orang cih complain sopan mala ngamuk ngamuk orgil perkara powercreer global pasive model serah dev gausah nyuruh dev hapus global pasive suruh hapus kah pull castorice,-1
4353,Langsung turun rating anjir🗿,langsung turun rating anjir,-1
4354,"semangat developer, kami yang benar benar player honkai star rail tidak mempermasalahkan apa yang ada di next patch, kami sangat bersyukur kalian membuat game ini, terimakasih hoyoverse",developer player honkai star rail masalah next patch syukur,-1
4355,"Wkwk sorry bat nih ya karakter b4 jadi useless bat semenjak yang namanya inflasi hp dari konten end game, kek diwajibkan ambil karakter setelah update kan gila cuy gak kebayang nnti player baru main cuman sedikit karakter yang dia punya dan cuman karakter b4 yang diandelin doang, tolong disesuaikan lagi, kalau udah nanti saya ubah lagi ulasan saya, jujur emang gak kikir tapi tolong lah kalau penyakit powercreep itu jngn terlalu gacor",wkwk sorry bat nih karakter b useless bat semenjak nama inflasi konten end wajib ambil karakter update gila cuy bayang player cuman karakter cuman karakter b diandelin doang sesuai ubah ulas jujur kikir sakit powercreep jngn gacor,13
4357,"hsr udah gak kaya dulu. sekarang makin keliatan kalau mihoyo itu serakah mentang-mentang udah jadi perusahaan game besar. powercreep gila, hp inflation, dan yang paling males karakter cewe yang lebih diprioritaskan. jatuhnya malah kaya mengeksploitasi cewek. mihoyo juga lebih ngedengerin player cina daripada player global. dan tolong hilangin global passive Castorice. kalo kalian tetap cuma ngedengerin player cina itu namanya kalian gak becus jadi ngembangin game.",hsr kaya liat mihoyo serakah mentang mentang usaha powercreep gila inflation males karakter cewe prioritas jatuh kaya eksploitasi cewek mihoyo ngedengerin player cina player global hilangin global passive castorice ngedengerin player cina nama becus ngembangin,13
4360,"Ku kasih 1 kesempatan terakhir ya, pastiin Castorice pulang, jangan sampai gw kecewa di hari ulang tahun ku nanti.. (° H °)",ku sempat pastiin castorice pulang kecewa ulang ku h,-1
4361,"kenapa global pasif hanya untuk castorice, anaxa engga?",global pasif castorice anaxa engga,-1
4362,"powercreep brutal, hard pity, gada fitur bikin anak",powercreep brutal hard pity gada fitur anak,-1
4363,"tolong kalo game turn based jangan kebanyakan power creep atau macem macem, dan juga kurang ajar ngerilis b5 nonstop per patch. Seenggaknya kayak fgo walau charnya banyak tapi variasi dari tim tim lama tetap masih bisa dipake sampe end game🙏",turn based banyak power creep macem macem ajar rilis b nonstop patch enggak fgo charnya variasi tim tim dipake sampe end,-1
4366,"bagus bagus aja, cuma masalah HP saya aja yg makin kentang wkwkwk",kentang wkwkwk,4
4368,"balikin akun gua yang kena bug tmr, udh gw besarin kaya anak sendiri tapi tiba tiba kena tmr sampe sekarang ga bisa dipake lagi",balikin akun kena bug tmr besarin kaya anak kena tmr sampe dipake,-1
4369,kebanyakan bug login,banyak bug login,-1
4371,"game enak banget buat nyantai, tapi susah banget ngelawan monster2 karena pake team gratisan",enak nyantai susah ngelawan monster pake team gratis,-1
4373,"gamenya bagus, ga pelit, semoga makin sukses ya",pelit moga sukses,11
4374,"what's wrong with all of you? long story complaining short story complaining even though the game is good and there are also those who complain about powercreep, hp inflation, even though you who can't play don't really know the mechanism",wrong long story complaining short story complaining even though also complain powercreep inflation even though really know mechanism,0
4375,"cerita bagus dan karakter juga sangat bagus, kegara ga dapat diinginkan ngasih reting jelek, ngotak lah kalian",cerita karakter kegara reting jelek pikir,12
4376,"Tidak Peduli Dengan News About Global Pasif Castorice, Ngga Dapat Pun Ngga Masalah, Saya Kesini Hanya Untuk Bersenang² Dengan Waifu. Hanya Karena Masalah Tentang Castorice Orang² Menurunin Rating, Saya Datang Untuk Memberi Suara Disini Sehat² Game Baik dan Developer",peduli news global pasif castorice kesini senang waifu castorice orang menurunin rating suara developer,-1
4377,"sistem meta dan powercreep tidak sehat, honkai star rail harus meniru kayaknya, yaitu genshin",sistem meta powercreep honkai star rail tiru kayak genshin,7
4379,"too much Powercreep in this game, old character cannot do the same damage as new character",much powercreep old character cannot damage new character,0
4381,udh nguli tau²nya gacha ampas ler,nguli tau gacha ampas ler,-1
4382,menurut anda baguskah munculin pasif global? keliatan banget jualannya tuh,bagus munculin pasif global liat jual tuh,-1
4384,"game seru dan menarik event nya, story yang benar² bagus",tarik event story,-1
4385,"gamenya bagus, alur ceritanya menarik, karakternya unik, semuanya udah perfect. Yang paling kusuka adalah alur ceritanya yang unik, menarik, dan menantang 👍 semangat terus Hoyoverse.",alur cerita tarik karakter unik perfect suka alur cerita unik tarik tantang,12
4386,game ini sat bagus tapi game ini juga berat di HP ketang,sat berat ketang,-1
4387,next karakter always crit pasif global,next karakter always crit pasif global,-1
4388,"game nya sekarang udh gak have fun lagi... char b4 GK bakalan rilis kalo powercreep nya brutal gini, story nya jga susah di cerna kalau gk bener2 mikirin apa yg di sampein... pasrah aja lah... makasih mihoyo👍",fun char b rilis powercreep brutal gin story susah cerna bener mikirin sampein pasrah mihoyo,-1
4389,Story nya bagus tapi bansosnya kurang hehe :),story bansosnya hehe,8
4390,lebih mendengarkan Player,dengar player,-1
4391,penyakit powerceeep gila,sakit powerceeep gila,6
4392,"Gamenya bagus banget saya suka, kebetulan saya nemu bintangnya 1 doang soalnya bintangnya kena power creep",suka nemu bintang doang bintang kena power creep,-1
4393,1. bug nya tolong diperbaiki sering ada bug saat login pdhl kondisi jaringan sgt bagus 2. Metashift udh kek orgil 3. Perbandingan chara b4 & b5 nya nggk ngotak bahkan sampe patch sekarang belum ada b4 baru 4. Story buat saat ini di amphoreus nggk se wah di penacony. terlalu bertele2 malah bikin jenuh krn bnyk puzzle 5. tolong adakan Companion mission character lagi 6. tolong kalau mau adain global passive diliat2 dlu.treatment castorice dgn emanator masa berbeda bgt pdhl castorice bukan emanator,bug baik bug login pdhl kondisi jaring sgt metashift orgil banding chara b b nggk pikir sampe patch b story amphoreus nggk penacony tele jenuh puzzle adakan companion mission character adakan global passive liat treatment castorice emanator beda pdhl castorice emanator,13
4394,game baik ga kikir kayak inisial genshin,kikir inisial genshin,-1
4395,"Udh jelek dari semua sisi ini game storytelling jelek, karakter template desainnya, powercreep ga ketolongan, endgame konten cuma bisa nambah darah dan minim konten",jelek sisi storytelling jelek karakter template desain powercreep tolong endgame konten nambah darah minim konten,-1
4398,Character lawas pada gak guna harus gacha terus,character lawas gacha,29
4399,"gameplay udah bagus, bagian login error terus, padahal internet lancar, bikin emosi",login error internet lancar emosi,-1
4400,"Ni game powercreepnya gila bet njir, sumpah bayangin gw udah cape cape build karakter bahkan gw spend duit gw buat E6 Karakter meta gw,malah kepowercreep termakan waktu oleh patch kedepan,plislah Hoyoo jan gini dongg,masa iya gw kudu spend duit lagi buat char yang gw gak mau tapi diperluin buat konten endgame kedepan. . .",powercreepnya gila bet njir sumpah bayangin cape cape build karakter spend duit e karakter meta kepowercreep makan patch depan plislah hoyoo jan gin dongg iya kudu spend duit char diperluin konten endgame depan,-1
4401,"Global passive? Yg bner aja, ntr kdepannya bakal bnyk lgi global passive",global passive bner kdepannya global passive,-1
4402,"jujur sebagai orang yang sudah memainkan game ini dari rilis cukup kecewa dengan perkembangan patch patch terakhir ini powercreep yang gila lah, hp inflation lah, karakter lama yang sulit untuk bersaingan dengan karakter baru , harus punya karakter meta untuk mengikuti perkembangan patch dan hampir semua karakter meta itu B5 lalu B4 jarang yang bisa bersaing dengan B5 lalu soal global pasif saya hanya takut kalauuu global pasif ini bertambah banyak dan merusak value pasif karakter lainnya",jujur orang main rilis kecewa kembang patch patch powercreep gila inflation karakter sulit saing karakter karakter meta ikut kembang patch karakter meta b b jarang saing b global pasif takut kalauuu global pasif tambah rusak value pasif karakter,-1
4403,gamenya bagus ramah buat f2p moga kedepannya makin ditingkatkan lagi,ramah f p depan tingkat,-1
4404,ilangin global pasifnya hoyo,ilangin global pasif hoyo,-1
4408,"already uninstall since herta came out. already knew the direction of the game. new mechanics new meta all over again, they don't care about game balance, they just want your money. they have good lore, butjust can't deliver. storytelling always suck, a cutscene came out and the fandom was ""this is crzay, absolute masterpiece"". i just don't get it. gonna go back to my jrpg game lol",already uninstall since herta came already knew direction new mechanics new meta care balance want money lore butjust deliver storytelling always cutscene came fandom crzay absolute masterpiece get gonna go back jrpg lol,0
4409,"setiap patch pasti harus gacha karakter dps yang baru dan gampang sekali terkena powercreep. lalu banner karakter rerun yang banyak membuat kami sulit untuk membangun party, dan minimnya karakter bintang 4 membuat semakin sulit lagi untuk menamatkan moc/purefiction.inflasi hp juga membuat kami kesulitan. saran saya di konten endgame ditambahkan buff yang bisa player pilih agar game menjadi lebih stabil.",patch gacha karakter dps mudah kena powercreep banner karakter rerun sulit bangun party minim karakter bintang sulit tamat moc purefiction inflasi sulit saran konten endgame buff player pilih stabil,10
4410,DELETE THE GLOBAL PASIVE,delete global pasive,20
4411,gacor dpt mydei se signnya,gacor mydei signnya,-1
4412,cihuyy game baik,cihuyy,4
4413,"Sumpah ya gua ga maen satu bulanan akun gua malah kereset, gajelas banget ini mihoyo padahal udha dpt uid sepuh jingkontot",sumpah maen bulan akun kereset gajelas mihoyo udha uid sepuh jingkontot,2
4414,game kikir banyak tingkah,kikir tingkah,26
4415,"Game nya bagus sekali, sangat worth it di coba",worth coba,-1
4416,"woi yg ngerate bintang 1, udah yappingnya? kalo emang menurut kalian ni game ngeribetin, story ribet lah apalah, yaudah gausah dimainin jir, hapus aja gausah di rate b1 juga, f2p banyak mau😹",woi ngerate bintang yappingnya ngeribetin story ribet apa yaudah gausah dimainin jir hapus gausah rate b f p,-1
4417,"game nya seru dan bagus, tapi adakan tombol skip KUMOHOOOOOOOOOONNNNN PLEASE",adakan tombol skip kumohoooooooooonnnnn,4
4418,"Kecewa sih, ini emang lagi ngebug atau gimana padahal jaringan lancar, tapi tiap mau login selalu dpt ""login error"" Mulu, bikin males main",kecewa bug gimana jaring lancar login login error mulu males,1
4419,Bagus mantaaaap,mantaaaap,-1
4420,"Tolong diperbaiki systemnya, masak sering kena too many request, sama risk, gamenya bagus, tetapi sejak beralih ke hoyoverse banyak masalah, masih bagus waktu masih Mihoyo",baik systemnya masak kena many request risk alih mihoyo,-1
4421,"b4 makin dikit, charakter baru malah op semua",b dikit charakter op,-1
4422,game penyakit powercreep gila di char lama 😹,sakit powercreep gila char,6
4423,ikutan rate b1 karna castorys wkwk,ikut rate b karna castorys wkwk,-1
4424,"overall sebenernya story dan gameplay nya bagus, namun powercreep di ini game terlalu parah bahkan banyak karakter lama susah di mainkan di meta sekarang atau ga laku, membuat semuanya tidak jadi stabil, banyak monster bermacam macam variasi yg membuat karakter lama kesusahan, bahkan new player di ini game benar benar kesulitan, susah enjoy, apalagi moc sekarang terkena buff hp 20%",overall story powercreep parah karakter susah main meta laku stabil monster variasi karakter susah new player sulit susah enjoy moc kena buff,10
4425,Game tidak ramah. Habis pull karakter patch selanjutnya tidak terpakai,ramah habis pull karakter patch pakai,-1
4426,"untuk mihoyo, tolong kembalikan MoC, Purefiction dan Apocaliptic shadow ke tempat semestinya dimana MoC dominan melawan musuh yang single boss dan menguntungkan karakter single target, sehingga tidak semua konten endgame menjadi sama seperti purefiction dimana semua konten memiliki banyak boss dan bisa summon troops, juga HP boss terlalu banyak, kami tidak sanggup. terakhir kali saya fullstar MoC, PF, AS, itu di anniv tahun lalu. setelah itu HP musuh sangat kelewatan. pikirkan kenyamanan pemain",mihoyo kembali moc purefiction apocaliptic shadow mesti mana moc dominan lawan musuh single boss untung karakter single target konten endgame purefiction mana konten milik boss summon troops boss sanggup kali fullstar moc pf anniv musuh lewat pikir nyaman main,-1
4427,Makin ga jelas nih game,nih,-1
4429,banyakin bansos lagi kang 😹,banyak bansos kang,8
4431,I love the game!! I love Caelus 😗,caelus,-1
4432,Castorice semoga menang besok 🔥🔥🔥🔥,castorice moga menang besok,-1
4433,geme nya sangat asik tidak pelit juga,asik pelit,-1
4436,kena karma jadi genshin 2.0,kena karma genshin,-1
4437,God game,god,-1
4440,"slah satu game terbaik sih, yang bilang ini powercreep gila atau gimana lagi itu elu aja yang gak pinter build game santai bukan kompe gini elu dramain dasar fandom tolol",slah baik bilang powercreep gila gimana elu pinter build santai kompe gin elu dramain dasar fandom tolol,-1
4441,Tingyun hidup rupanya :),tingyun hidup,25
4442,game nya bagus dan sangat memuaskan termasuk aniv nya saya main dari awal rilis selalu memainkan game ini dimana dana kapan pun karena game ini sangat seru tidak perlu berfikir terlalu keras dan relax berjaya lah Hoyovers,muas aniv rilis main mana dana berfikir keras relax jaya hoyovers,-1
4443,"Game nya bagus, selama aku main kgk ada nemu bug, lancar,Five Star dari aku😊, anyway ini turun bintang nya kek nya karna bakal ada Global Pasive dah😅",nemu bug lancar five star anyway turun bintang karna global pasive,-1
4447,"yang kasih rating 1 kalo skill issue, skill issue aja deck😜😋😹",rating skill issue skill issue deck,-1
4448,Gamenya bagus ga pelit kek sebelah😄,pelit belah,-1
4449,"STOP INFLASI HP DI SETIAP KONTEN END GAME, KALIAN PIKIR MEMPERTEBAL DARAH BOSS AKAN MEMBUAT PLAYER SENANG? PENYAKIT POWERCREEP GILA, KARAKTER BARU SELALU DIDESAIN KUAT MELEBIHI KARAKTER TERDAHULU, NGGAK GUNA GACHA KARAKTERNYA KALAU UJUNG UJUNGNYA KENA POWERCREEP",stop inflasi konten end pikir tebal darah boss player senang sakit powercreep gila karakter desain kuat lebih karakter gacha karakter ujung ujung kena powercreep,10
4450,"menurutku yang cuma F2P ini bagus tinggal main doang,nikmati storynya,gak banyak maunya🙂‍↕️😌",turut f p tinggal doang nikmat storynya mau,-1
4451,Ku kasih 1 star karena aventurine ga pernah muncul² sejak 2.2/2.3,ku star aventurine muncul,-1
4452,"amazing game, ppl just hating bcuz castorice is too beautiful. ANYWAYS ANAXAGORAS & HIS LC MUST COME HOME.",amazing ppl hating bcuz castorice beautiful anyways anaxagoras lc must come home,-1
4453,"Akun tiba² tidak bisa login karena ""Terlalu banyak percobaan"" udah ngehubungin CS Via email maupun Hoyo lab sama² ga ngasih solusi. rating bakal saya ubah ketika akun saya kembali",akun login coba ngehubungin cs via email hoyo lab solusi rating ubah akun,1
