content,sentiment,lang,word_count
"GRAFIKNYA KEREN BANGET, STORYNYA BIKIN BETAH. GACHA AGAK PAYAH TAPI MASIH ENJOY. :)",positive,id,13
"Gacha parah, pity gak jelas. Udah tarik berkali-kali tetap gak dapet 5-star.",negative,id,12
"Crashes after the latest patch, needs urgent fix. meta sustain",negative,en,10
"Gacha masih RNG, pity rate low. But storynya bagus sekali. grinding",neutral,mixed,11
"meta Karakter baru OP, desainnya memukau. Banner worth to pull. Turn-based combat is smooth, character kit is fun to play",positive,mixed,20
"Gacha parah, pity gak jelas. Udah tarik berkali-kali tetap gak dapet 5-star. Good balance overall, not pay-to-win, enjoyed the event :)",negative,mixed,21
"GOOD BALANCE OVERALL, NOT PAY-TO-WIN, ENJOYED THE EVENT. SUKA GAMEPLAYNYA, TURN-BASED YANG HALUS TURN-BASED META",positive,mixed,15
"NERF LOVE THE ART AND STORY, NO LAG ON MY DEVICE. BANNER FELT FAIR THIS TIME.",positive,en,16
"turn-based grinding Server sering lag, loading lama. Grinding terlalu berat.",negative,id,10
"meta turn-based Crashes after the latest patch, needs urgent fix. Cerita dan voice acting luar biasa, soundtracknya top :)",negative,mixed,19
"RNG buff Great visuals tapi banyak bug setelah update, please fix. :)",neutral,mixed,12
"pity Cerita dan voice acting luar biasa, soundtracknya top. pity :)",positive,id,11
"Crashes after the latest patch, needs urgent fix.",negative,en,8
"grinding Great visuals tapi banyak bug setelah update, please fix. :)",neutral,mixed,11
"CERITA DAN VOICE ACTING LUAR BIASA, SOUNDTRACKNYA TOP. TURN-BASED META",positive,id,10
"GREAT VISUALS TAPI BANYAK BUG SETELAH UPDATE, PLEASE FIX.",neutral,mixed,9
"turn-based Great visuals tapi banyak bug setelah update, please fix. grinding :)",neutral,mixed,12
"Cerita dan voice acting luar biasa, soundtracknya top.",positive,id,8
"pity Suka gameplaynya, turn-based yang halus. Tidak ada lag di HP saya. Good balance overall, not pay-to-win, enjoyed the event buff :)",positive,mixed,22
"gacha Turn-based combat is smooth, character kit is fun to play. Karakter baru OP, desainnya memukau",positive,mixed,16
"Microtransaction terlalu agresif, berasa pay-to-win. Turn-based combat is smooth, character kit is fun to play :)",negative,mixed,16
"Turn-based combat is smooth, character kit is fun to play. 5-star pity",positive,en,12
"Love the art and story, no lag on my device. Banner felt fair this time.",positive,en,15
"Too much grinding required, stamina system sucks. pull",negative,en,8
"buff Gameplay turn-based seru, but grinding is brutal. buff :)",neutral,mixed,10
"Gacha masih RNG, pity rate low. But storynya bagus sekali.",neutral,mixed,10
"Gameplay turn-based seru, but grinding is brutal. :)",neutral,mixed,8
"Great visuals tapi banyak bug setelah update, please fix. :)",neutral,mixed,10
"Spent a lot for banner, still no 5-star, sangat kecewa.",neutral,mixed,10
"Great visuals tapi banyak bug setelah update, please fix. :)",neutral,mixed,10
"Love the art and story, no lag on my device. Banner felt fair this time.",positive,en,15
"Great soundtrack and cutscenes. Visuals are stunning. Suka gameplaynya, turn-based yang halus",positive,mixed,12
"Gacha masih RNG, pity rate low. But storynya bagus sekali. RNG pity :)",neutral,mixed,13
"Gameplay turn-based seru, but grinding is brutal. :)",neutral,mixed,8
"pity banner-rate Too much grinding required, stamina system sucks. Suka gameplaynya, turn-based yang halus",negative,mixed,14
"nerf Gacha masih RNG, pity rate low. But storynya bagus sekali. :)",neutral,mixed,12
"Spent a lot for banner, still no 5-star, sangat kecewa. :)",neutral,mixed,11
"Love the art and story, no lag on my device. Banner felt fair this time.",positive,en,15
"GRAFIKNYA KEREN BANGET, STORYNYA BIKIN BETAH. GACHA AGAK PAYAH TAPI MASIH ENJOY.",positive,id,12
"Update terbaru banyak bug dan crash, sangat mengecewakan. turn-based",negative,id,9
"CRASHES AFTER THE LATEST PATCH, NEEDS URGENT FIX. GRAFIKNYA KEREN BANGET, STORYNYA BIKIN BETAH :)",negative,mixed,15
"Karakter baru OP, desainnya memukau. Banner worth to pull. Good balance overall, not pay-to-win, enjoyed the event",positive,mixed,17
"Good balance overall, not pay-to-win, enjoyed the event. banner nerf :)",positive,en,11
"Too much grinding required, stamina system sucks. :)",negative,en,8
"Spent a lot for banner, still no 5-star, sangat kecewa.",neutral,mixed,10
"Crashes after the latest patch, needs urgent fix. Suka gameplaynya, turn-based yang halus buff :)",negative,mixed,15
"Too much grinding required, stamina system sucks. Cerita dan voice acting luar biasa, soundtracknya top turn-based :)",negative,mixed,17
"Grafiknya keren banget, storynya bikin betah. Gacha agak payah tapi masih enjoy. Love the art and story, no lag on my device meta",positive,mixed,23
"Cerita dan voice acting luar biasa, soundtracknya top.",positive,id,8
"Cerita dan voice acting luar biasa, soundtracknya top.",positive,id,8
"banner Spent a lot for banner, still no 5-star, sangat kecewa.",neutral,mixed,11
"Cerita dan voice acting luar biasa, soundtracknya top. Turn-based combat is smooth, character kit is fun to play :)",positive,mixed,19
"Gacha masih RNG, pity rate low. But storynya bagus sekali. RNG turn-based",neutral,mixed,12
"FPS drops on low-end phones, optimization needed. Suka gameplaynya, turn-based yang halus pull buff",negative,mixed,14
"Great visuals tapi banyak bug setelah update, please fix. :)",neutral,mixed,10
"RNG UPDATE TERBARU BANYAK BUG DAN CRASH, SANGAT MENGECEWAKAN. BANNER-RATE",negative,id,10
"nerf Server sering lag, loading lama. Grinding terlalu berat. Great soundtrack and cutscenes",negative,mixed,13
pity Great soundtrack and cutscenes. Visuals are stunning. RNG,positive,en,9
"gacha Suka gameplaynya, turn-based yang halus. Tidak ada lag di HP saya. Good balance overall, not pay-to-win, enjoyed the event nerf",positive,mixed,21
"Crashes after the latest patch, needs urgent fix.",negative,en,8
"Karakter baru OP, desainnya memukau. Banner worth to pull. pull :)",positive,id,11
"Too much grinding required, stamina system sucks. Grafiknya keren banget, storynya bikin betah meta banner :)",negative,mixed,16
"GACHA IS RNG HELL, SPENT A LOT BUT NO PITY. REALLY FRUSTRATED.",negative,en,12
Great soundtrack and cutscenes. Visuals are stunning. :),positive,en,8
"Gameplay turn-based seru, but grinding is brutal. grinding",neutral,mixed,8
Great soundtrack and cutscenes. Visuals are stunning. grinding :),positive,en,9
"Too much grinding required, stamina system sucks.",negative,en,7
"Gacha parah, pity gak jelas. Udah tarik berkali-kali tetap gak dapet 5-star.",negative,id,12
"RNG FPS drops on low-end phones, optimization needed.",negative,en,8
"Great visuals tapi banyak bug setelah update, please fix. :)",neutral,mixed,10
"Great visuals tapi banyak bug setelah update, please fix.",neutral,mixed,9
"Suka gameplaynya, turn-based yang halus. Tidak ada lag di HP saya.",positive,id,11
"Great visuals tapi banyak bug setelah update, please fix. :)",neutral,mixed,10
"Gameplay turn-based seru, but grinding is brutal.",neutral,mixed,7
"Good balance overall, not pay-to-win, enjoyed the event. Grafiknya keren banget, storynya bikin betah",positive,mixed,14
