original_index,raw_content
6604,Gacha kena rate off Mulu di akun pertama di akun kedua sistem gachanya gimana dah di spam gepard Mulu tolong perbaiki sistem gachanya gw player f2p cape² nabung malah di kasih rate off kocak²
6605,masa harus sinyal kencang baru bisa download data?... padahal sinyal wifi sy bagus knp setiap sy ganti aplikasi selalu gagal aja download ny
6606,Good enough
6607,GAME TAIK
6608,"Gamenya bagus, rekomendasi dari teman"
6609,"Yang merasa hp kentang gausah kritik"" frame"" blok SADAR DIRI!!"
6610,Best game❤️❤️
6611,Pemain day 1 dan aku cuma bisa bilang kalau Firefly karakter cewek favoritku
6612,bosan
6613,"the story, musics, cutscenes, and the characters (especially the herta and robin😋) are just so good istg"
6614,"Game nya selalu nge freeze dan kejang kejang, setelah update jadi keseringan kejang kejang dan kedap kedip layarnya, padahal spesifikasi hp sudah mendukung"
6615,Nice Game
6616,"Untuk Masalah (Level Character) Dan (Level Light Cone), Jika Bisa Level Character Dan Light Conenya Di Up Sampai Lv100, Karena Level Max Adalah Lv100 Bukan Lv80, Dan Untuk (MC), Saya Mohon Tambahkan Light Cone Pribadi Untuk (MC), Karena (MC) Termasuk Hero SSR."
6617,Mantep
6618,"Mantap gw kasi 5 bintang,masalah force close di versi sebelumnya sudah tidak ada lagi tetapi ada satu aja yg kurang masalah cutscene lag meski di gameplay nya lancar aja, ya memang terjadi di beberapa device tapi tolong di perbaiki, game yang kuat story nya begini akan kurang vibes nya kalau cutscene laging kan sayang ya bikin scene keren keren malah lag (kebetulan gw main 2 divece) yah minimal kasi setingan di gamenya lah, setingan kualitas video gitu biar gak mubazir aja tu scene nya yg mantep"
6619,Loading nya lamaaaaa banget hampir 10 menit nunggu ga main main padahal jaringan saya bagus loh
6620,Lumaya bagus
6621,"bug in snow world please fix it, i don't know if it's my phone or the game. The bug is like the screen doesn't move but there is sound. Pls help me ;-;. This bug occurs when searching for something, such as hide and seek, searching for a slightly suspicious person, and searching for items for train tracks..."
6622,Makasih game kontl baru main gw gacha langsung diberi hard pity 150 pull baru dapat B5 memang game Kontl hoyotot
6623,gacha selalu kalah rate off
6624,"Tolong sediakan tombol ""skip"" di semua cutscene... habis waktu berjam-jam hanya nonton cutscene doang..."
6625,Absolute Cinema
6626,"seret buat f2p. susah2 ngumpulin SJ cuma buat dpt *3 lightcone. belum lg klo kena rate off. berasa SJ yg udh didapet kebuang sia2. powercreep nya juga parah. karakter lama udh beda jauh dmg nya Ama karakter baru. endgame konten juga hp musuh malah makin tebel. padahal char kita udh GK bisa naik level,malah musuhnya dibikin tebel."
6627,Sangat membantu
6628,Power creep is f__k
6629,"Akun saya ko ke reset (hilang) padahal saya cuma ga main selama 3 bulan, giliran pas kembali main main malah ke reset"
6630,"Kenapa ya MOC sekarang susah banget. Tim udh memumpuni, Sign udh cukup lengkap, relic malah ampas Mulu. Capek dah ngikut meta cepet bener habisnya. Baru beberapa patch udh ganti lagi, MOC ganti, HP musuh malah makin tebel."
6631,Bronya sayang
6632,Kasih fitur skip dong kadang dialog biasa² ajah bikin bosen dan ngantuk.
6633,Cerita makin kesini makin seru
6634,I hate Xianzhou and Penacony Arc
6635,"Keren game nyaa, akhirnya bisa nyoba main game ini, suka bangett. Sempet ragu mau download soalnya pasti size nya 20gb an, tapi untung aja ada update fitur baru buat hapus data lama yang ga berguna lagi buat ngecilin size game nya, trrima kasihhh, itu berguna banget buat pengguna penyimpanan 64gb kyk aku"
6636,"karakter2 nya menarik, gameplay dengan animasi dan story yang benar2 bagus sih"
6637,Lag parah
6638,Game sepi ini bos ngebosenin pacaran sama cewe gw aja sampe dicuciin chat doang gabisa ngobrol suara :( dead game inj
6639,YA ALLAH LOADINGNYA LAMA BGTT PLDDD
6640,Dari segi gamplay sungguh menarik serta karakter dan weapon yg d gunakan benar2 beda dari yg lain unik sekali
6641,"gabisa login, ngestuck mulu di loading pom-pom, tolong diperbaiki"
6642,Ngotak dikit kalo ngasih darah boss saya f2p kewalahan bintang 1 update sekarang
6643,1 Bintang lagi kalau Hoyoverse sekalian mau memberi fitur Cek stat relic in gamenya
6644,?? Jadi susah login. Sering black screen doang🥱🤨
6645,"Gamenya bagus baik dari segi story ataupun gameplay,karena saya menikmati game santai dan tidak rumit.Untuk gacha sih meskipun kadang hard pity dan malah kalah rate off tapi yaudahlah yah😄 bisa nguli dari event. Cuma ada hal sedikit yang disayangkan yaitu cutscene yang ngeleg di HP(PC mah gatau sih) apa mungkin karena hp saya aja kali ya.Semoga bisa lebih berkembang lagi yaa saya berharap banyak pada versi 3.0"
6646,Dah mulai susah klo G punya chart tertentu
6647,Fr U guys as a dev need to stop to increasing the hp of enemy in moc
6648,Game dermawan
6649,The best turn-based game on mobile
6650,Gacha gw ampas bgt taik👊😡 kagak pernah menang rate off👊😡 bab*k👊😡anj***👊😡dhlh ngereog aja gw
6651,Ga tau seru aja
6652,login error mulu 1001
6653,Kalau vs aventurine bisa ganti mode kasual.
6654,"Saya ngasih rate ini dengan jujur, grafiknya bagus ga bikin lag alhamdulillah berjalan lancar. Tapi akhir akhir ini semenjak saya jarang login, kenapa pas login di game nya kayak kedap kedip gitu ya? Jadinya saya sering restart ulang game nya, tapi tetep seperti itu, bahkan saya sampe download ulang gamenya. Mohon di perbaiki dev."
6655,Sbernya udah bagus bnget grapik nya juga bagus bnget trus seru tpi pas tengah2 ga bisa masuk lift yah udah uniistal aja
6656,Dipercepat lagi loading dalam game nya
6657,Love it thx :3
6658,"Gak bisa login, udah di coba berkali kali dari install ulang, pakai VPN sampe ganti device tetep aja gak bisa login dan muncul notifikasi terlalu banyak permintaan, gak jelas"
6659,Rate gacha ampas
6660,Wajib nguli dan poin terpenting dr semua ini adalah H O K I. SEMANGAT NGULINYA!! 🫡🫡 BUDAK RPG HARUS KUATT
6661,Gacha relic yang bener dikit lah
6662,Untuk saat ini Bintang 4 dulu lah karena saat mau masuk di loading ada petunjuk log in gagal jadi tolong di perbaiki lagi ya ini sangat menganggu🫤
6663,"Suka tapi Beda dengan genshin impact, metode bertarungnya terlalu lama baik itu saat buat formasi apalagi harus berurutan serta yang paling bingung adalah aku tidak mengerti panduan kombinasi elemennya. Jika bisa aku ingin 3 permasalahan ini bisa dipertimbangkan dengan cara seperti genshin impact lakukan,formasinya singkat,bertarungnya juga singkat,metode kombinasi elemennya pun juga dimengerti. Pokoknya aku sudah gak mau main lagi karena ada metode yang berbeda dengan yang ada di genshin impact"
6664,bagus sih cuman kalau di android sumpah ngeleg banget kadang ngga bisa login kalau di pc meskipun ram nya trlalu banyak ngga sebanding dengan android tapi tolong lah kalo main di hp kayak enak aja kalau di pc ribet ngga bisa bawa kesana kemari tolong perbaiki lagi🙂
6665,di coba
6666,Labirin marcel anyinggg
6667,"Kepada honkai starrail mohon untuk dibenarkan bug atau masalah dalam kenyamanan player karna saya salah satunya ketika saya mau login atau apapun itu saya tidak bisa masuk dan walaupun bisa masuk pas di In gamenya itu ngeleg atau ga bisa gerak, padahal saya sudah memakai hp yg khusus buat gaming tetapi pas saya login buat daily quest saya pas di In game ga bisa gerak walaupun bisa gerak itu palingan ngeleg ngeleg gitu, jadi buat honkai starrail segera untuk ditindak lanjuti bug atau masalah 🥹🥹"
6668,A fresh turn-based RPG.
6669,"Semakin lama game nya sangat monoton , tidak ada inovasi yang baru"
6670,"Ini normalkah? Saya gacha fugue malah dapat gepard, terus dulu gacha lingsa malah dapat bronya :("
6671,"tolong untuk misi ""era melaju cepat"" saat melawan gorila atau monyet tolong di nerf, atau di kasih pilihan mode standard, karena saat gorila menyerang, char kita langsung kehilangan setengah hp nya, jadi sangat mustahil untuk dilawan saat build char rendah"
6672,Greatest game ever 👍👍👍
6673,Game nya bagus dan seru tolong upgradenya di cepetin karena saya suka banget sama ini game dan 1 saya ingin minta ferifly di hidupin aja plis
6674,stop ngasih gua kalah rate off dan hard pity (menangin gua rate off dlu pas banner lingsha nanti kasih b5)
6675,"Gamenya Sangat seru dan santai 😇 gameplay,story,dan cutscene nya pun menurut saya sangat oke 👌.Hadiah reward bansosnya pun terbilang lumayan dan tidak pelit.Mungkin kalau bisa developer menambahkan tombol skip?😅"
6676,WORK IT
6677,Game baik
6678,Lagi berharap Honkai:star rail ini collab dengan Boboiboy galaxy.
6679,"Gamenya bagus desain charnya jg bagus cuma waktu loding setelah animasi kereta itu lamaaa banget butuh waktu sekitar 2-3 menit padahal game genshin,zzz GK selama itu"
6680,aku cinta yunli
6681,"Gamenya bagus,bagusss banget cuma minusnya di powercreep yang terlalu brutal,yang tentunya tidak lumayan ramah untuk F2P player,tapi overall saya suka"
6682,"Tolong dong ini diperbaiki lagi soal GK bisa login! Soalnya ini saya GK bisa login 2 mingguan ini gara² masalah ""too many request"" tolong dong ya... Soalnya sebelum ini saya login lancar² aja kok masa sekarang jadi kayak gini setelah update..."
6683,"We will see about that in update 3.0 story. ""Heartwarming and romantic"", ""he"" say?"
6684,"Makin lama makin gk aturan, Musuh tambah sulit, stat DPS gk ada peningkatan. Relic ketemu ampas mulu, dpat bagus yg ke up Def% semua. Agak diratain lah biar agak mudah. Substat ERR juga gk ada. Makin lama makin bosan oy. Gk tau brpa temen gw yg pensi karna Inflasi karakter terlalu gk ngotak."
6685,Yang dicari games lain yang keluar games ini. Anjirlah
6686,Gacha nya nyebelin beda sama game yang lain
6687,Sumpah download lama banget terus pas di mainin malah ngelek mati hp gw malah error hp nya ya aku kasih bintang 3 aja lah kasian
6688,entah kenapa setiap mau masuk loadingnya lama bangettt padahal signalnya ok² aja gatau nge-lag atau gimana tapi setiap masuk tuh kyk gitu teruss
6689,"fix bug di quest penacony plis, ngestuck jir (Kalo dah di fix gw naikin rate nya.)"
6690,Game nya sebenarnya bagus tapi loading nya lama bangettt
6691,"Bagus,tetapi saat saya keluar dari gem harus donlwond berkali kali dan lama proses nya.gerafik sudah bagus dan yg lain nya bagus juga"
6692,"Ini bug atau emang kenapa ya, kok sering banget freeze tiba-tiba saat animasi terus force close. Padahal gk pernah sebelumnya dari awal rilis, game yg lain kek HI3 sama ZZZ aman-aman aja. Cuma sekarang aja abis update malah jadi gini sering freeze terus force close mulu"
6693,"Semenjak 2.7 ini akun saya sering mengalami bug too many request, akun saya udah saya rawat dari awal rilis ga bisa di mainin, saya udah coba ke cs-nya tapi ga ngasih solusi malah di kasih peringatan anda melakukan cheat, boro-boro mau ngecheat orang udah tau pengawasannya ketat."
6694,Game ngantuk
6695,Kenapa saat ingin masuk ke game. Loading nya lama banget padahal menggunakan wifi. Jadi males saya buat main game nya.
6696,Size game lumayan besar
6697,Terimakasih atas kerja kerasmu
6698,Hardi pity terusss
6699,Snggat seruuuuu...
6700,Game nya pada saat login selalu ngebug karena selalu login error dan jika mau mengatasi hal ini harus matikan DNS yang selalu memakan waktu.. tolong diperbaiki lagi dan ditambah dengan game yang semakin lama menggerus karakter dps lama yang membuat player harus FOMO untuk mengambil Chara baru dan game ini tidak ramah untuk F2P
6701,Game ramah pemain.
6702,"Seru,plus ga pelit bikin char cowo☺☺😌😌"
6703,Give me fugue
6704,Nih game bagus tapi loding sebelum masuk game nyA LAMA BERAPA GB TUH DOWNLOAD data nya aduh
6705,"Gamenya sih bagus ya, tapi..... Pas saya lagi main gamenya tiba2 ngeleg gitu bukan ngeleg biasa bukan karna jaringan saya atau apapun tapi dia kaya bulak balik gitu di loby sama di in game kaya bersamaan gitu trus berulang ulang aku buka ulang tetep gitu and juga ada layar hitamnya, Pihak Honkai tolong perbaiki gamenya! Aku masi belum tau, mungkin bug atau semacamnya?"
6706,"Please get out the character like Lingshu and Ruan Mei for the gacha update!!! I need it man please :), Thats why i rated this game is a different Perfect Game."
6707,"Dari segi micro transactionnya siklus antar banner char & LC terlalu lama(20hari) coba 10 atau 12 hari cukup lah seharusnya. Dari segi gameplay kecepatan saat melawan musuh sangat lamban saat mode biasa(gerakan karater & musuh terlalu slowmotion) tetapi jika mode kecepatan dinyalakan kecepatan bertarung jadi terlalu cepat(tidak dapat dinikmati), contoh lah game kaya Persona 3/4/5 kecepatan gerakan saat bertarungnya pas, tidak slowmotion dan jika ingin dipercepat bisa jadi 6x speed animationnya."
6708,Bagus
6709,Langsung ke topik saja (tolong kasih tombol skip) Gameplay grafik udah bagus dan karakter cakep2
6710,bagus
6711,Kocak ini game masa ganti akun suruh download resource lagi kan kocak bgt
6712,Game jahat XXX
6713,game pemanas hp di semua device
6714,Bersyukur makin di kembangkan.
6715,terlalu banyak narasi dan tidak bisa di skip jadi bermain menjadi membosankan karena terlalu lama menunggu
6716,Karena geratis ya bagus
6717,Sbenernya udh bgus tp pas abis update napa pas puzzle penacony yng naro puzzle itu suka gbs di pencet sma skali dh puzzle yng lain bs jd hrs re log lg mn lama pula re logny
6718,dari segi grafik sama karakter desain nya bagus banget malah suaranya oke pengalaman didapet lumayan. TAPI TAPI TAPI GAMPLAY NYA BURIK BOSENIN KAYA POKEMON NITENDO TAU GA SIH LU MANA UPDATE NYA GEDE 1 GBAN MENDING KALO MISAL NYA GAMPLAY KAYA BASARA ATAU PGR INI MAH GAMPLAY NYA KAYA POKEMON NITENDO. SEKIAN TERIMA PERBAIKAN HAHA
6719,Aku membenci mu game gacha ampas 👎🏻
6720,Story + gameplay the best👍💯
6721,I love star rail!
6722,"Pemain lama login kembali, pada saat gacha langsung d kasih rate off, autoUninstall.. Tolong metode gachanya d rubah kembali, agar chara chara rate off yg keluar bukan itu itu aja-, -"
6723,Coba aja ya kalok misalkan kita main game terus enggak sengaja keluar tapi pas masuk ke hsr gak perlu nunggu loading moga aja dikabulin sama mereka
6724,no comment
6725,Game baik dikasih pity ijo mulu gw😁
6726,bagus banget njrrr gw awal-awal main dri versi 1.4 iseng doang pas main ternyata seru juga!! desain karakternya juga bagus-bagus nyaa walaupun agak menyiksa mata nya hehe.. but no problem 👍 semangat terus nya player lain
6727,Game nya bagus cuma lama banget sance pertama Nya dan aku pernah Gajadi main
6728,Terima kasih untuk firefly nya 🥰 love you mihoyo!!!
6729,Gamenya seru tapiSering ngeleg padahal sinyal bagus ram sama memori masih banyak tapi masih bae pasti muncul kode error ngeselin emang
6730,Saya kesusahan masuk game nyaa sumpah ngelag bgt dah
6731,Game Baik
6732,Sering terjadi bug jaringan error saya sangat kesal bukan cuma 1 game doang tapi genshin juga sama
6733,Games tolol
6734,"Selalu error saat login menggunakan wifi, padahal wifi bagus bagus saja dan tidak ada masalah"
6735,"gamenya asik bgt jujur, lore nya jga pada bagus"" trs bikin tertarik juga, contohnya luofu. Tapi kadang bikin ga mood banget kalo ngegacha kadang lebih dari 50 pity.. tapi bisa ga nambahin mode co-op ky di genshin? Buat explore map doang lah 😔"
6736,Tolong buat developer aku main game ini tapi kok ngebug tolong perbaiki bugnya biar aku nggak kena bug
6737,"Saya sampai bingung mau comment apa karena game nya bagus banget. Saya nyaman dengan mekanisme dan konsep game ini, saya selalu menantikan dunia baru untuk dijelajahi, event baru yang satisfying dan karakter baru yang unik serta animasi yang memukau! Dan jangan lupakan rewardnya ya hoyo 😁"
6738,"Story sama gameplay nya bagus banget, plus event nya banyak juga. Tapi gak lucu sih, masa iya saya kalah rate off terus padahal harusnya 100% dapet karakter yang ada di banner, tapi malah dikasih karakter B5 standart 😹"
6739,Game bagus
6740,"Gamenya seru bgtt cuman karena hpku kentang jadi sring lag sma memo penuh, tpi semoga bisa kebeli hp baru buat main nih game, btw kunantikan patch 3.0 yaa"
6741,Hoyoverse tambah keren aja event nya
6742,Ini adalah game yang sangat bagus
6743,"sugoi! game ini bnr"" keren, alur cerita nya bagus begitupun dgn grafikny"
6744,"Game nya bagus,grafiknya juga keren,terus ceritanya juga oke banget,cuma kadang ngelag sama juga udah mengunduh data malah ngulang lagi dari awal nunggu lama"
6745,"Keren bngt ini game, teruntuk mimin ku tercinta yang buat game ini tolong permudahkan kami buat spin karakter dengan mudah dapet bintang 5 ya min😋🥰"
6746,🤩
6747,"Game HoYoverse yang menurut ku paling seru setelah hi3 n ggz, game play nya mudah, story nya seru n keren, design character nya jg bagus tapi msih ada yg hrus diperbaiki yaitu ketika login selalu ada ""login eror, silahkan coba lagi nanti. Kode eror: 1001_1"" tolong dong HoYoverse di perbaiki, jaringan ku bagus cuma dari kemarin gitu trus :<"
6748,🥰🥰😝🥰
6749,Bagus
6750,The true turn base game
6751,paansi kok gabisa masuk masuk nyebelin
6752,"terlalu banyak dialog membosankan dan tidak bisa di skip, padahal saya main game untuk menikmati gameplay pertarungan bukan dialog"
6753,Saya login ke game tidak bisa masuk entah kenapa tapi tolong di perbaiki bug nya
6754,game nya gk kikir. tapi gw gacha fuuge. fuuge nya kok pakek kacamata 🥰🥰
6755,Maaf ya aku kasih bintang satu😥 karna sebenarnya bisa sih aku log in tapi waktu loading........ Mb itu lama banget sampai aku tunggu sampai sejam lebih bukannya masuk dalam game nya malah waktu liat mb nya langsung 978 mb langsung aku unistal aja deh soalnya hp ku memorinya sedikit tapi kalo hp kalian memorinya banyak boleh sih coba game ini😅
6756,"Gimana dah baru balik lagi, malah semua akun gua ke reset"
6757,the worst game I have ever played
6758,Perfek
6759,Saran: Tambahin karakter sexsi
6760,The games is good hoyo but i had found some bug when me doing investigation Scene in some mission i like in shackling prison please try Fix this problem So that I can continue my Mission
6761,"Bagus soal nya saya suka Dan Heng, Dr Ratio, Blade"
6762,Mommy kafka
6763,"Sudh banyak pengalam tentang turnbase, jdi tetep milih yg lama"
6764,Kasih ak aventurine ama blade kukasi bintang 5
6765,"makin kesini powercreep makin kerasa,char lama jadi jelek sama char sekarang,yakali ganti perpacth gacha char baru"
6766,Kok jadi susah login ya?
6767,Geme dakjal.
6768,😁
6769,Menurutku kureng ya karena ketika kita mau download data-nya itu lama banget
6770,"dri oada genshin sma zzz ini hsr asik si, lernah hpus hsr buat mainin gensghin ato zzz bentaran lngsung hapus donlot hsr lgi krna gem lain emg bosen udh gtu kikir lgi"
6771,good game
6772,Perbanyak bansos aku nak karakter
6773,"udah bgs dan semua gameplay dan story, tolong buatkan hsr cloud juga karena saya udah ga main hsr lagi"
6774,Bagus
6775,👍
6776,"Jujur aja,Aku balik main nih game karena kangen welt.Sisanya nih game bagus² aja~"
6777,Biasanya normal lancar kok sekarang sering nge lag sama error saat login.... Mohon diperbaiki lagi. Padahal sinyal bagus tidak ada gangguan
6778,Game ini bagus dan memiliki grafik dengan tema anime yang bagus dan biarpun game turn base tapi tetap bagus dan memiliki desain Karakter yang bagus
6779,"Jelek, plagiat game lain"
6780,Geya bagus
6781,"Ni game powercreep nya ngga ngotak bgtt, udh gitu bos²ny abis update makin di tebelin darahnya.. apa lagi bos² end game konten setiap update pasti di buat tambah susah, ngga ramah buat player f2p bngt. Apa lagi akun gw yg hard pity mulu berasa beli char aj, mana kdang kalah rate off pula. apalagi pas mo dptin char b4 yg ad di benner susah bgt buat dptinya, ngga kaya di ZZZ. Tolong lhh klo update dipertimbangin juga nasib player f2pnya.."
6782,Tidak ramah buat f2p gua gacha firefly malah di kasih yanqing e1
6783,"LU SENGAJA HA HOYO BIKIN GWEH KALAH RATE OFF DI LC FIREFLY? CAPE GWEH NGULI SANA SINI NYARI STELLAR JADE DAN TIKET GACHA BUAT GACHA LC FIREFLY, NUNGGU HARI RERUN NYA.. SENANG LU BEGITU BIKIN PLAYER NYA EMOSI? GWEH CUMA PLAYER F2P YANG PENGEN MENDAPATKAN KE HOKIAN KAYAK YANG LAIN, KALAU P2M MAH GAPAPA DI KASIH KALAH RATE OFF TERUS MENERUS KARENA MEREKA PUNYA BANYAK UANG DAN KEBANYAKAN STREAMER².. LAH GWEH CUMA PLAYER F2P BISA APA? SEMUA GAME HOYO SAMA AJA, GA KAKAK GA ADEK NYA, TCHHH."
6784,"Dimohon untuk hsr pertimbangkan lagi soal bagian event yang dimana tahap 1 dan tahap 2 itu jauh sekali pendapatan stellar jade nya yang dimana tahap 1 bisa 2000 lebih di tahap 2 cuma 500 lebih bukan saya tidak suka, karena saya juga tau ada beberapa hadiah yang dijadikan sebagai pengganti event yang seharusnya ada.contohnya selector, memang itu bagus tetapi bagi yang f2p pastinya lebih butuh stellar jade"
6785,Nice
6786,Game Kikir
6787,min akun aku kena hack orang lain solusi hapus email orang yg ngehack gimana?? akun nya masih saya pegang link google gmail gimana cara kembali kan akun saya
6788,Kasih ak Firefly nanti ak b5 in.
6789,game nya bagus cuman sistem gacha nya aja yang ga f2p gua udh 60x gacha ga dapet emang harus pity brpa sih biar dapet character b5
6790,"Game berat, frame drop"
6791,"Waktunya ketua balik main game ini ,lagi pensi main bersyukur impact😌"
6792,Kalo dapet Sunday ku kasih bintang 5
6793,Saya tidak bisa memulihkan akun saya dikarenakan tidak bisa mendapatkan kode verifikasi pemulihan akun
6794,Game nya bagus
6795,Udah donlod lama banyak bacot Brat ini nyesel main
6796,Hoyo tolong dong aku ngebug di game saat misi mengikuti black swan aku keluar sebentar untuk farming setelah kembali aku tidak bisa masuk lagi karena aku spawn di dream pool dan otomatis pintu untuk menuju black swan terkunci dan tidak bisa masuk tolong dong
6797,"so many bugs not fixed for weeks, aventurine, herta, firefly, luocha, and many more is having bugs with their kit, I'll be very disappointed if we don't get big compensation"
6798,Skip story nya mana anjir gw ketiduran Mulu cok🗿🗿🗿
6799,The best
6800,Semakin kesini loading screen terlalu lama
6801,"Game tidak ramah HP kentang, main full party nihility berasa hp juga kena DoT juga, dikit dikit ngelag akibat efek DoT, pas kafka ulti bilang BOOM, HP ku langsung kerestart sendiri, :( plis mang hoyo efek DoT di peramah sedikit"
6802,cool game
6803,minimal kasih gw menang rate off lah..
6804,Kikir game
6805,gamenya bagus sih cuma gak cocok di HP kentang 😂 ukurannya 22 GB semoga Dev turunin ukurannya
6806,"Udah make jaringan bagus"" data+wifi, masih aja dituduh jaringan error padahal bagus jaringan gw"
6807,Gacha menang rate off teruss apa apa an gua mau benner standar woii
6808,Best
6809,Oke
6810,Gacha lc limited 3x kalah besar2 pity 78+ Peras aja duit ku trus Mana feedback buat org2 yg spend ini mah mau gesek ato tidak gada bedanya
6811,Tambahkan voice bahasa Indonesia
6812,"Seru, aku suka semua game yang di buat mihoyo"
6813,Di spam too many request padahal nggak ngasih siapa siapa pakai 😠
6814,Keren
6815,Beyu di
6816,"Game turn base terfavorit, saya sangat menyukainya!, love Aventurine!"
6817,"fitur ganti ke mode controller nya di lobby dong,capek masuk dulu ke ingame terus login lagi😒"
6818,Min gua gacha Robin udah rate on kok hard pity Mulu padahal Robin udh keluar dua kali GK dapet dapet😔😔
6819,Cool!
6820,"hoyoverse pls give me jing yuan, uda pity 67 belum dapat.. semoga aja ga kalah rate off:(( 😭😭🥲🥺"
6821,"Main dari 1.0 sampe sekarang ga pernah menang rate off, kalah rate off pity 80 an trs bukti gw dh punya, banyak."
6822,"Makin susah login akhir2 ini, stuck di halaman pertama"
6823,"Biasanya download data via Wifi atau Data Cellular selama jaringan Ok lancar2 saja. Kenapa kali ini tiap mau login gagal karena jaringan. Tiap download data gagal saat sudah beberapa persen, padahal jaringan tidak ada kendala. Tolong perbaiki lagi"
6824,Aku cinta aventurine.
6825,"Gak bisa login gua woi, ketahan terus katanya tidak bisa update padahal jaringan bagus, ditunggu lama tetap tidak bisa, developer kerja apaan sih"
6826,"Login bisa tapi gak bisa masuk ke game. Resource download failed, padahal udah di update semua. HSR doang yang kayak gini genshin sama HI3 langsung masuk ke game"
6827,Kok bagus?
6828,update baru masalah baru hoyo aku pas login pasti ada notif bilang pembaruan data gagal padahal gada update apa apa gitu terus kalo itu masalah segara perbaiki
6829,Sering ada gangguan saat masuk game dan cuma stuck di loading screen
6830,udah 4 hari sering ngestuck setelah login dan ga mau masuk ke dalam gamenya. padahal processornya dimensity 8050 signal juga 4G+ kecepatannya bisa lebih 20MB/s atau 160Mbps dan rata2 kecepatannya juga dikisaran 100-160Mbps.
6831,"Tolong di perbaiki, loading screen kadang lama banget!"
6832,sangat bagus
6833,bagus
6834,Kalo farming relic tolong dipermudah dong aku farming berkali-kali susah dapet loh Wak 😭
6835,"duh tolong tu musuhnya dikasih rendah statnya ngak ngotak bet, char lama jadi ga guna kalo musuhnya naik stat terus"
6836,Kadang gak bisa masuk stuck di loading awal gak jelas
6837,Kalo sekali update sizenya gak ngotak
6838,"kenapa sekarang susah dan lama sekali ketika mau memasuki game,, terutama di loading screen tolong perbaikan nya soalnya menganggu sekali,, padahal jaringan lancar"
6839,"gajelas sering bug login, gaperna ada perbaikan untuk ini"
6840,"masalah loading screen nya tolong diperbaiki dong, bused lama bener mau login"
6841,"Help i stuck in loading screen, it said error code 200"
6842,Maaf ya hoyoverse game ya pas masuk loading ya lama bet dari pada genshin loading ya cepet plis lah ad bug sebagainya dan grafik dan lainnya baguss banget dan 1 lagi pas loading masuk jngn terlalu lama
6843,"Lumayan ngulang pas login padahal sinyal nya normal dan buat game atau aplikasi lain normal, jadi saya mohon untuk lebih dibenahi entah server atau yang lain agar login tidak berulang-ulang terus terusan"
6844,"WOI SERVER,SUSAH AMAD LOGINNYA!!!!"
6845,"Mantap gamenya, pertama instal nggk nyangka ternyata bisa seseru ini"
6846,Kok jadi susah login? Ganti akun login lamaaa tolong di fix
6847,susah login ajg
6848,TIDAK COCOK UNTUK HP KENTANG
6849,game nya bagus
6850,tolong kenapa aku download data nya gagal mulu padahal kuota udh unlimited tetep aja gagal mulu tolonng perbaiki
6851,Aku akan mencoba bermain game rpg ini pasti aku berhasil menyelesaikan misi misi ini
6852,"Progres akun hilang padahal udah pakai akun email yang sama, tolong dong perbaikin masa harus ulang dri awal lagi udah kali juga kejadian, sayang banget itu akun nya"
6853,"Powercreep nya oy,dari jaman jingliu masih op enak banget tuh buat clear konten skarang udah ga ada damage njir kalo mau lawan bos fight, apalagi umur dps singkat ga kaya karakter harmony ,kek harus ngikutin meta (player f2p)"
6854,Stuck at loading screen
6855,"Game nya bagus sih, event nya bnyak tapi emang klo ada karakter baru psti konten endgame jg ngejual wkwk. But gapapa. Oh ya, kalau bisa tambahin fitur skip dong, karena aku stuck 4-5jam an di satu quest doang... But it's worth it tho since animasi, cutscenes dll nya bagus tpi yhaaa... Begitu lah heheheh. Ngumpulin jades udh mayan, tpi emng harus bergantung bgt ke endgame content. Jangan hilangkan free pulls setiap patch itu ya, krna bagi F2P itu sangat berharga bro🌹🌹"
6856,HSR. H-nya apa? Dermawan
6857,Ini masalah login eror tolong secepatnya diperbaiki deh. Masalah dari awal rilis sampai sekarang kok belum ada kemajuan sama sekali
6858,"keren, hoyo bagi aku stellar jade"
6859,"Game yang sangat menarik, akhirnya bisa menemukan game yang selalu bikin betah bermain mulai dari eksplorasi dunia yang memukau, hingga gameplay battle yang cukup seru dengan banyaknya karakter yang selalu ditambah Tapi cuma satu permasalahan dari awal saya bermain hingga sekarang, terkadang untuk login dalam game tidak bisa, dengan pemberitahuan update data game gagal, padahal sinyal sangat lancar Mohon untuk diperbaiki masalah server"
6860,"Gamenya bagus, grafik ok, cuman ngeleg di lobby ama pas loadning aja tapi gamplay bisa 60 fps🗿, itu aja sih cuman optimalkan lobbynya biar gk ngeleg aja"
6861,Lelet amat jadi gim dikit² gabisa login pepek
6862,"saya gatau harus ngasih ulasan gmna tapi kenapa pas awal download ini game trus mengunduh data tuh lamanya kebangetan, padahal wifi lancarnya kebangetan tapi ini malah lamanya ga karuan"
6863,Application game global served overwhelm funtastic graphic and challenges fun vibe in mobile phone internet
6864,Tolong perbaiki masalah pada saat login. Saya sudah tiga hari tidak bisa masuk ke dalam game.
6865,"Min fix bug event LUKA yang lagi tarung, sering macet disana"
6866,Seruuu
6867,A nya atuh kang nuju naon wae mah teterang nya atuh tingal nya atuh kang usman di BSD Tangerang Banten di w di pemainan ini juga akan mendapatkan dana di teruskan saja di rumah dan di BSD city Tangerang Selatan Banten Jakarta west
